Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Sul,  2.006.171 ,  1.948.153 ,  2.085.597 ,  1.729.936 ,  1.599.966 ,  1.684.856 ,  1.679.450 ,  1.666.071 ,  1.718.434 ,  1.678.750 ,  1.693.977 ,  1.755.588 ,  21.246.949 
,,,,,,,,,,,,,
,2016,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  11.830.096 ,  11.351.945 ,  11.316.243 ,  11.782.473 ,  10.932.332 ,  10.613.953 ,  10.380.620 ,  10.427.772 ,  10.890.071 ,  10.855.564 ,  11.133.955 ,  11.357.061 ,  132.872.085 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  759.843 ,  740.736 ,  751.194 ,  747.941 ,  754.695 ,  783.331 ,  796.979 ,  822.097 ,  830.479 ,  828.560 ,  834.314 ,  826.045 ,  9.476.214 
Nordeste,  2.295.490 ,  2.191.346 ,  2.315.129 ,  2.307.869 ,  2.255.249 ,  2.219.377 ,  2.100.992 ,  2.114.946 ,  2.194.120 ,  2.219.979 ,  2.310.009 ,  2.385.414 ,  26.909.920 
Sudeste,  5.864.497 ,  5.615.379 ,  5.532.807 ,  5.907.371 ,  5.330.941 ,  5.076.992 ,  4.937.481 ,  4.997.655 ,  5.299.383 ,  5.282.756 ,  5.407.188 ,  5.543.528 ,  64.795.978 
Sul,  1.951.618 ,  1.888.454 ,  1.782.753 ,  1.817.400 ,  1.706.584 ,  1.683.387 ,  1.704.822 ,  1.638.519 ,  1.626.257 ,  1.596.120 ,  1.627.834 ,  1.690.320 ,  20.714.068 
Centro-Oeste,  958.648 ,  916.030 ,  934.360 ,  1.001.892 ,  884.863 ,  850.866 ,  840.346 ,  854.555 ,  939.832 ,  928.149 ,  954.610 ,  911.754 ,  10.975.905 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  122.472 ,  122.120 ,  128.066 ,  125.513 ,  113.592 ,  115.818 ,  112.354 ,  121.076 ,  124.433 ,  126.071 ,  126.044 ,  126.977 ,  1.464.536 
Norte,  762.663 ,  762.725 ,  745.483 ,  751.053 ,  790.706 ,  819.360 ,  825.233 ,  831.497 ,  861.526 ,  850.263 ,  861.741 ,  852.124 ,  9.714.374 
Nordeste,  2.051.983 ,  1.931.000 ,  2.070.916 ,  2.060.520 ,  1.992.071 ,  1.956.629 ,  1.848.298 ,  1.858.240 ,  1.917.578 ,  1.948.573 ,  2.032.127 ,  2.112.443 ,  23.780.378 
Sudeste/C.Oeste,  6.941.360 ,  6.647.646 ,  6.589.025 ,  7.027.987 ,  6.329.379 ,  6.038.759 ,  5.889.913 ,  5.978.440 ,  6.360.277 ,  6.334.537 ,  6.486.209 ,  6.575.197 ,  77.198.729 
Sul,  1.951.618 ,  1.888.454 ,  1.782.753 ,  1.817.400 ,  1.706.584 ,  1.683.387 ,  1.704.822 ,  1.638.519 ,  1.626.257 ,  1.596.120 ,  1.627.834 ,  1.690.320 ,  20.714.068 
,,,,,,,,,,,,,
,2015,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  12.558.302 ,  11.780.261 ,  11.098.110 ,  10.889.663 ,  10.541.785 ,  10.112.848 ,  10.110.752 ,  10.312.915 ,  10.436.503 ,  11.133.353 ,  11.131.741 ,  11.083.535 ,  131.189.768 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  726.570 ,  677.514 ,  680.311 ,  675.513 ,  679.533 ,  695.205 ,  746.477 ,  763.948 ,  820.516 ,  884.653 ,  872.136 ,  851.295 ,  9.073.671 
Nordeste,  2.302.666 ,  2.240.786 ,  2.213.527 ,  2.232.375 ,  2.218.162 ,  2.120.820 ,  2.025.226 ,  2.000.513 ,  2.086.557 ,  2.162.718 ,  2.193.135 ,  2.317.043 ,  26.113.528 
Sudeste,  6.476.567 ,  5.957.795 ,  5.573.471 ,  5.415.655 ,  5.176.493 ,  4.852.845 ,  4.913.722 ,  5.080.894 ,  5.030.736 ,  5.465.728 ,  5.457.842 ,  5.383.171 ,  64.784.919 
Sul,  2.062.996 ,  1.967.877 ,  1.802.427 ,  1.724.335 ,  1.588.736 ,  1.593.710 ,  1.605.688 ,  1.621.249 ,  1.557.532 ,  1.611.874 ,  1.612.892 ,  1.603.341 ,  20.352.657 
Centro-Oeste,  989.503 ,  936.289 ,  828.374 ,  841.785 ,  878.861 ,  850.268 ,  819.639 ,  846.311 ,  941.162 ,  1.008.380 ,  995.736 ,  928.685 ,  10.864.993 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  167.479 ,  151.131 ,  156.241 ,  157.189 ,  155.090 ,  108.693 ,  111.851 ,  116.175 ,  125.924 ,  139.946 ,  129.820 ,  125.054 ,  1.644.593 
