Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Nordeste,  1.791.174 ,  1.713.907 ,  1.829.832 ,  1.749.838 ,  1.815.270 ,  1.707.451 ,  1.819.113 ,  1.833.657 ,  1.748.642 ,  1.817.050 ,  1.807.882 ,  1.859.685 ,  21.493.500 
Sudeste/C.Oeste,  8.861.381 ,  8.536.495 ,  9.303.153 ,  8.992.708 ,  8.965.736 ,  8.915.949 ,  9.003.731 ,  9.080.092 ,  9.013.616 ,  9.247.865 ,  9.094.960 ,  8.884.871 ,  107.900.557 
Sul,  2.836.727 ,  2.849.240 ,  3.060.929 ,  3.077.864 ,  3.032.618 ,  2.962.469 ,  3.034.385 ,  3.084.583 ,  2.987.847 ,  3.031.087 ,  3.001.771 ,  2.866.379 ,  35.825.900 
,,,,,,,,,,,,,
,2020,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  13.538.420 ,  13.903.304 ,  14.135.129 ,  12.175.532 ,  12.320.935 ,  12.556.276 ,  13.917.490 ,  14.547.408 ,  14.661.691 ,  15.304.142 ,  14.800.754 ,  14.676.985 ,  166.538.065 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.272.481 ,  1.200.039 ,  1.170.714 ,  1.075.535 ,  1.119.415 ,  1.144.999 ,  1.214.069 ,  1.280.313 ,  1.259.860 ,  1.316.382 ,  1.242.216 ,  1.276.704 ,  14.572.727 
Nordeste,  1.831.825 ,  1.797.480 ,  1.760.380 ,  1.443.311 ,  1.575.375 ,  1.633.372 ,  1.818.305 ,  1.810.163 ,  1.877.485 ,  1.997.413 ,  1.819.325 ,  1.839.105 ,  21.203.540 
Sudeste,  7.075.128 ,  7.341.090 ,  7.587.633 ,  6.503.650 ,  6.357.406 ,  6.477.439 ,  7.279.626 ,  7.697.947 ,  7.723.167 ,  8.042.503 ,  7.878.699 ,  7.832.769 ,  87.797.056 
Sul,  2.562.605 ,  2.769.213 ,  2.775.843 ,  2.377.962 ,  2.420.716 ,  2.465.186 ,  2.734.191 ,  2.855.864 ,  2.918.141 ,  3.037.212 ,  3.004.999 ,  2.875.937 ,  32.797.868 
