Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Sudeste,  4.219.888 ,  4.152.985 ,  4.276.384 ,  4.124.395 ,  3.885.942 ,  3.677.308 ,  3.490.184 ,  3.443.507 ,  3.723.379 ,  3.852.910 ,  3.978.215 ,  4.051.793 ,  46.876.890 
Sul,  1.384.355 ,  1.386.440 ,  1.456.678 ,  1.330.808 ,  1.139.470 ,  1.142.548 ,  1.117.027 ,  1.140.863 ,  1.188.087 ,  1.194.519 ,  1.207.313 ,  1.280.794 ,  14.968.902 
Centro-Oeste,  602.590 ,  620.443 ,  621.080 ,  645.209 ,  597.857 ,  596.465 ,  549.914 ,  569.504 ,  628.875 ,  614.601 ,  632.604 ,  602.648 ,  7.281.790 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  40.981 ,  39.434 ,  40.770 ,  39.781 ,  41.475 ,  41.809 ,  40.370 ,  44.466 ,  45.145 ,  45.936 ,  45.404 ,  43.808 ,  509.379 
Norte,  368.159 ,  350.396 ,  373.044 ,  378.889 ,  406.010 ,  409.095 ,  396.573 ,  423.066 ,  420.913 ,  428.536 ,  418.750 ,  407.224 ,  4.780.655 
Nordeste,  1.094.955 ,  1.069.399 ,  1.126.083 ,  1.109.851 ,  1.103.463 ,  1.071.158 ,  991.373 ,  1.019.790 ,  1.030.864 ,  1.093.919 ,  1.133.430 ,  1.160.513 ,  13.004.798 
Sudeste/C.Oeste,  4.890.003 ,  4.837.984 ,  4.968.017 ,  4.838.123 ,  4.558.071 ,  4.345.606 ,  4.110.070 ,  4.090.560 ,  4.429.932 ,  4.546.488 ,  4.686.454 ,  4.727.448 ,  55.028.756 
Sul,  1.384.355 ,  1.386.440 ,  1.456.678 ,  1.330.808 ,  1.139.470 ,  1.142.548 ,  1.117.027 ,  1.140.863 ,  1.188.087 ,  1.194.519 ,  1.207.313 ,  1.280.794 ,  14.968.902 
,,,,,,,,,,,,,
