ANO,REGIAO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
2009,Sudeste,4.648.272,4.425.160,4.666.872,4.574.496,4.466.390,4.263.405,4.390.194,4.521.489,4.516.470,4.587.326,4.586.570,4.768.804
2009,Sul,1.419.724,1.354.039,1.397.087,1.388.854,1.299.824,1.299.676,1.338.723,1.381.261,1.336.852,1.317.935,1.379.266,1.396.936
2009,Centro-Oeste,650.865,601.070,618.907,640.315,625.858,594.716,592.316,620.129,649.506,658.857,665.609,655.034
2008,Norte,396.323,380.864,374.421,386.480,399.647,399.430,405.359,434.435,455.038,453.242,452.781,431.406
2008,Nordeste,1.360.682,1.332.020,1.306.498,1.299.819,1.316.168,1.246.959,1.256.700,1.266.491,1.275.643,1.358.840,1.361.440,1.398.059
2008,Sudeste,4.412.691,4.340.742,4.179.036,4.225.451,4.386.332,4.153.532,4.186.405,4.292.183,4.208.021,4.413.750,4.456.627,4.222.422
2008,Sul,1.380.788,1.324.724,1.276.707,1.264.139,1.255.075,1.252.972,1.258.858,1.296.088,1.258.612,1.268.536,1.306.813,1.280.988
2008,Centro-Oeste,583.757,580.367,556.939,578.792,576.659,568.337,546.183,591.435,618.394,625.417,660.058,609.814
2007,Norte,377.018,364.503,352.883,371.967,371.605,381.288,374.013,392.888,408.304,409.738,422.501,405.279
2007,Nordeste,1.259.580,1.208.193,1.194.430,1.244.458,1.218.867,1.205.705,1.177.362,1.185.584,1.164.758,1.226.991,1.286.044,1.305.312
2007,Sudeste,4.183.534,4.000.465,4.219.240,4.223.592,4.104.316,3.887.323,3.813.598,3.979.163,4.058.552,4.053.969,4.229.638,4.116.989
2007,Sul,1.327.669,1.269.714,1.275.474,1.291.818,1.243.434,1.193.009,1.172.657,1.249.110,1.238.276,1.216.932,1.238.824,1.218.277
2007,Centro-Oeste,562.552,550.066,552.290,596.991,553.266,536.836,533.647,537.771,579.422,604.146,591.274,572.267
